410000  河南省	1
410423106000	瓦屋镇	4
410423107000	赵村镇	4
410423201000	四棵树乡	4
410423202000	团城乡	4
410423203000	熊背乡	4
410423204000	让河乡	4
410423206000	观音寺乡	4
410423207000	昭平台库区乡	4
410423208000	背孜乡	4
410423209000	仓头乡	4
410423210000	董周乡	4
410423211000	张店乡	4
410423212000	辛集乡	4
410423213000	滚子营乡	4
410423214000	马楼乡	4
410425000000	郏县	3
410425001000	龙山街道	4
410425002000	东城街道	4
410425101000	冢头镇	4
410425102000	安良镇	4
410425103000	堂街镇	4
410425104000	薛店镇	4
410425105000	长桥镇	4
410425106000	茨芭镇	4
410425107000	黄道镇	4
410425108000	李口镇	4
410425200000	王集乡	4
410425202000	姚庄回族乡	4
410425203000	白庙乡	4
410425204000	广阔天地乡	4
410425205000	渣元乡	4
410471000000	平顶山高新技术产业开发区	3
410471001000	皇台街道	4
410471100000	遵化店镇	4
410472000000	平顶山市城乡一体化示范区	3
410472001000	湖滨路街道	4
410472101000	滍阳镇	4
410472401000	滨湖管委会	4
410472402000	应滨管委会	4
410481000000	舞钢市	3
410481001000	垭口街道	4
410481002000	寺坡街道	4
410481003000	朱兰街道	4
410481004000	院岭街道	4
410481005000	矿建街道	4
410481006000	铁山街道	4
410481007000	红山街道	4
410481100000	尚店镇	4
410481101000	八台镇	4
410481102000	尹集镇	4
410481103000	枣林镇	4
410481202000	庙街乡	4
410481204000	武功乡	4
410481205000	杨庄乡	4
410482000000	汝州市	3
410482001000	煤山街道	4
410482002000	风穴路街道	4
410482003000	钟楼街道	4
410482004000	洗耳河街道	4
410482005000	汝南街道	4
410482006000	紫云路街道	4
410482101000	寄料镇	4
410482102000	温泉镇	4
410482103000	临汝镇	4
410482104000	小屯镇	4
410482105000	杨楼镇	4
410482106000	蟒川镇	4
410482107000	庙下镇	4
410482108000	米庙镇	4
410482109000	陵头镇	4
410482110000	纸坊镇	4
410482111000	大峪镇	4
410482112000	夏店镇	4
410482113000	焦村镇	4
410482202000	王寨乡	4
410482207000	骑岭乡	4
410500000000	安阳市	2
410501000000	市辖区	3
410502000000	文峰区	3
410502001000	东大街街道	4
410502002000	头二三街道	4
410502003000	甜水井街道	4
410502004000	东关街道	4
410502005000	南关街道	4
410502006000	西大街街道	4
410502008000	北大街街道	4
410502011000	西关街道	4
410502012000	紫薇大道街道	4
410502013000	光华路街道	4
410502014000	永明路街道	4
410502015000	中华路街道	4
410502101000	宝莲寺镇	4
410502561000	步行街综合治理办公室	4
410502562000	北大街综合治理办公室	4
410503000000	北关区	3
410503001000	红旗路街道	4
410503003000	解放路街道	4
410503004000	灯塔路街道	4
410503005000	豆腐营街道	4
410503006000	洹北街道	4
410503008000	彰东街道	4
410503009000	彰北街道	4
410503010000	民航路街道	4
410503011000	曙光路街道	4
410503100000	柏庄镇	4
410505000000	殷都区	3
410505001000	梅园庄街道	4
410505002000	李珍街道	4
410505003000	电厂路街道	4
410505004000	纱厂路街道	4
410505005000	铁西路街道	4
410505006000	水冶街道	4
410505007000	清风街道	4
410505008000	北蒙街道	4
410505009000	相台街道	4
410505200000	西郊乡	4
410506000000	龙安区	3
410506001000	田村街道	4
410506002000	彰武街道	4
410506003000	文昌大道街道	4
410506004000	文明大道街道	4
410506005000	太行小区街道	4
410506006000	中州路街道	4
410506100000	龙泉镇	4
410506101000	马投涧镇	4
410506103000	善应镇	4
410506201000	东风乡	4
410506205000	马家乡	4
410522000000	安阳县	3
410522101000	水冶镇	4
410522102000	铜冶镇	4
410522106000	白璧镇	4
410522107000	曲沟镇	4
410522108000	吕村镇	4
410522109000	伦掌镇	4
410522111000	崔家桥镇	4
410522112000	辛村镇	4
410522113000	韩陵镇	4
410522114000	永和镇	4
410522115000	都里镇	4
410522116000	高庄镇	4
410522203000	磊口乡	4
410522204000	许家沟乡	4
410522210000	安丰乡	4
410522211000	洪河屯乡	4
410522214000	瓦店乡	4
410522216000	北郭乡	4
410523000000	汤阴县	3
410523100000	城关镇	4
410523101000	菜园镇	4
410523102000	任固镇	4
410523103000	五陵镇	4
